,name,website,facebook,telegram,twitter
0,BITFINEX,https://www.bitfinex.com/?utm_source=icobench,https://www.facebook.com/bitfinex,https://t.me/bfxtelegram,https://twitter.com/bitfinex
1,Tron Game Global,https://trongameglobal.network/?utm_source=icobench,https://www.facebook.com/Tron-Game-Global-358747561584122,https://t.me/TronGameGlobalOfficial,https://twitter.com/TronGameGlobal1
2,Perlin,https://www.perlin.net/?utm_source=icobench,https://facebook.com/perlin.network/,https://t.me/perlinnetworkchat,https://twitter.com/PerlinNetwork
3,Percival,https://percivaltoken.com/?utm_source=icobench,,https://t.me/Percival_Token,https://twitter.com/percivalxpv
4,Bread,https://token.breadapp.com/en/?utm_source=icobench,https://www.facebook.com/breadapp/,https://t.me/joinchat/HclhZw3y3wyfPchdgyTOcg,https://twitter.com/breadapp
5,SocialGood,https://socialgood-foundation.com/?utm_source=icobench,https://www.facebook.com/SoichiroTakaoka,https://t.me/Socialgood_io,https://twitter.com/soichirotakaoka
6,CharS,http://www.charsproject.com?utm_source=icobench,,https://t.me/chars_project_global,https://twitter.com/CharSproject
7,GIFTO,https://gifto.io/?utm_source=icobench,https://www.facebook.com/gifto.io/,https://t.me/giftoOfficial,https://twitter.com/GIFTO_io
8,Windhan Energy,https://windhanenergy.io/?utm_source=icobench,https://www.facebook.com/windhanenergy/,https://t.me/windhanenergyico,https://twitter.com/EnergyWindhan
9,ioeX,https://www.ioex.co/?utm_source=icobench,https://www.facebook.com/IOEXnetwork-195925017798496/,https://t.me/ioeXnetwork_EN,https://twitter.com/ioexnetwork
10,harmony,https://harmony.one/team/?utm_source=icobench,,https://t.me/harmony_one,https://twitter.com/harmonyprotocol
11,MultiVAC,https://www.mtv.ac/?utm_source=icobench,,https://t.me/MTVCommunity,https://twitter.com/MultiVAC_Global
12,COTI,https://coti.io/?utm_source=icobench,https://www.facebook.com/COTInetwork,https://t.me/COTInetwork,https://twitter.com/COTInetwork
13,Akropolis,https://akropolis.io/?utm_source=icobench,,https://t.me/akropolis_official,https://twitter.com/akropolisio
14,ECOMI, http://brbent.com/,https://www.facebook.com/ecomi.ecosystem/,https://t.me/ecomi,https://twitter.com/ecomi_
15,Band Protocol,https://bandprotocol.com?utm_source=icobench,,https://t.me/joinchat/E48nA06UIBFmNsE9OaDusQ,https://twitter.com/bandprotocol
